,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,Abbotsbury,2176.0,,,,,,,,,,
1,1,Abbotsford,2046.0,Pizza Place,Café,Park,Gift Shop,Wine Shop,,,,,
2,2,Abbotsford,3067.0,Café,Pub,Japanese Restaurant,Pizza Place,Gastropub,Football Stadium,Bus Stop,Greek Restaurant,Grocery Store,Thrift / Vintage Store
3,3,Aberfeldie,3040.0,Athletics & Sports,Café,Garden,Art Gallery,,,,,,
4,4,Aberfoyle Park,5159.0,Park,Electronics Store,,,,,,,,
5,5,Acacia Gardens,2763.0,BBQ Joint,Park,Dry Cleaner,,,,,,,
6,6,Acacia Hills,822.0,,,,,,,,,,
7,7,Acacia Ridge,4110.0,Health & Beauty Service,,,,,,,,,
8,8,Acton,2601.0,Food Truck,Café,Museum,Indian Restaurant,Plaza,Concert Hall,Coffee Shop,Sandwich Place,Dim Sum Restaurant,
9,9,Acton Park,7170.0,,,,,,,,,,
10,10,Adelaide Airport,5950.0,Rental Car Location,Coffee Shop,Bar,Airport Terminal,Airport Lounge,Gift Shop,Café,Parking,Clothing Store,Airport
11,11,Agnes Banks,2753.0,,,,,,,,,,
12,12,Ainslie,2602.0,Grocery Store,Pub,Shopping Plaza,Fish & Chips Shop,Australian Restaurant,Café,Bakery,,,
13,13,Airds,2560.0,,,,,,,,,,
14,14,Airport West,3042.0,Park,Coffee Shop,Grocery Store,,,,,,,
15,15,Alawa,810.0,Arts & Crafts Store,,,,,,,,,
16,16,Albanvale,3021.0,Furniture / Home Store,Market,Grocery Store,,,,,,,
17,17,Albany Creek,4035.0,Fast Food Restaurant,Japanese Restaurant,Ice Cream Shop,Mexican Restaurant,Fish & Chips Shop,Gym,Sandwich Place,Liquor Store,Australian Restaurant,Pizza Place
18,18,Albert Park,3206.0,Café,Italian Restaurant,Seafood Restaurant,Bakery,Light Rail Station,Snack Place,Park,Burger Joint,Vietnamese Restaurant,Supermarket
19,19,Albert Park,5014.0,Print Shop,Train Station,IT Services,Electronics Store,Home Service,,,,,
20,20,Alberton,5014.0,Gas Station,Sports Bar,Train Station,Grocery Store,Football Stadium,Australian Restaurant,,,,
21,21,Albion,3020.0,Café,,,,,,,,,
22,22,Albion,4010.0,Fast Food Restaurant,Café,Comedy Club,Indian Restaurant,Train Station,Turkish Restaurant,Sandwich Place,Bakery,Pub,
23,23,Alderley,4051.0,Thai Restaurant,Performing Arts Venue,Athletics & Sports,Thrift / Vintage Store,Grocery Store,,,,,
24,24,Aldinga,5173.0,Seafood Restaurant,Pub,Café,Bakery,,,,,,
25,25,Aldinga Beach,5173.0,Hookah Bar,Motorsports Shop,,,,,,,,
26,26,Alexander Heights,6064.0,Mobile Phone Shop,Home Service,Park,Indian Restaurant,Big Box Store,,,,,
27,27,Alexandra Hills,4161.0,Supermarket,Fast Food Restaurant,Sandwich Place,Liquor Store,,,,,,
28,28,Alexandria,2015.0,Café,Fast Food Restaurant,Italian Restaurant,Basketball Court,Australian Restaurant,,,,,
29,29,Alfords Point,2234.0,Fried Chicken Joint,,,,,,,,,
30,30,Alfred Cove,6154.0,Park,Thai Restaurant,Sports Club,Fish & Chips Shop,Pizza Place,Liquor Store,Indian Restaurant,Fast Food Restaurant,,
31,31,Algester,4115.0,,,,,,,,,,
32,32,Alkimos,6038.0,,,,,,,,,,
33,33,Allambie Heights,2100.0,Café,Park,Liquor Store,Grocery Store,Bakery,,,,,
34,34,Allawah,2218.0,Himalayan Restaurant,Pilates Studio,Park,,,,,,,
35,35,Allenby Gardens,5009.0,Pet Store,Pharmacy,Fish & Chips Shop,Gym,Pizza Place,Sandwich Place,Vietnamese Restaurant,,,
36,36,Alphington,3078.0,Café,Greek Restaurant,Gas Station,Hotel,Italian Restaurant,Grocery Store,Indian Restaurant,,,
37,37,Altona,3018.0,Thai Restaurant,Furniture / Home Store,Café,Convenience Store,Train Station,,,,,
38,38,Altona Meadows,3028.0,Bakery,Fast Food Restaurant,Italian Restaurant,Department Store,Supermarket,Shopping Mall,Asian Restaurant,,,
39,39,Altona North,3025.0,Business Service,,,,,,,,,
40,40,Amaroo,2914.0,Pharmacy,Athletics & Sports,,,,,,,,
41,41,Ambarvale,2560.0,Supermarket,Gym / Fitness Center,Bus Stop,,,,,,,
42,42,Amberley,4306.0,,,,,,,,,,
43,43,Andrews Farm,5114.0,Food & Drink Shop,,,,,,,,,
44,44,Angle Park,5010.0,Vietnamese Restaurant,Sports Bar,Café,Athletics & Sports,Restaurant,Park,Racetrack,,,
45,45,Angle Vale,5117.0,Athletics & Sports,Food & Drink Shop,,,,,,,,
46,46,Anketell,6167.0,,,,,,,,,,
47,47,Annandale,2038.0,Café,Pub,Grocery Store,Garden Center,Playground,Climbing Gym,Bar,BBQ Joint,Snack Place,Australian Restaurant
48,48,Annangrove,2156.0,Auto Garage,Indian Restaurant,,,,,,,,
49,49,Annerley,4103.0,Café,Supermarket,Coffee Shop,Sandwich Place,Bus Stop,Camera Store,Fast Food Restaurant,,,
50,50,Anstead,4070.0,,,,,,,,,,
51,51,Anula,812.0,Chinese Restaurant,Playground,,,,,,,,
52,52,Applecross,6153.0,Café,Liquor Store,Cosmetics Shop,Indian Restaurant,Australian Restaurant,,,,,
53,53,Arana Hills,4054.0,Supermarket,Gym,Chinese Restaurant,Accessories Store,Asian Restaurant,Department Store,Café,Gym / Fitness Center,Park,Fast Food Restaurant
54,54,Aranda,2614.0,Recreation Center,Dance Studio,Café,Bar,,,,,,
55,55,Arcadia,2159.0,Food & Drink Shop,,,,,,,,,
56,56,Archer,830.0,,,,,,,,,,
57,57,Archerfield,4108.0,Miscellaneous Shop,Cosmetics Shop,Construction & Landscaping,,,,,,,
58,58,Ardeer,3022.0,,,,,,,,,,
59,59,Ardross,6153.0,Café,Thai Restaurant,Japanese Restaurant,Italian Restaurant,Hawaiian Restaurant,Burger Joint,Mediterranean Restaurant,Lounge,Gym / Fitness Center,Ice Cream Shop
60,60,Armadale,3143.0,Café,Convenience Store,Grocery Store,Breakfast Spot,Liquor Store,Light Rail Station,Train Station,,,
61,61,Armadale,6112.0,Fast Food Restaurant,Department Store,Brazilian Restaurant,Coffee Shop,Café,,,,,
62,62,Armstrong Creek,4520.0,,,,,,,,,,
63,63,Arncliffe,2205.0,Thai Restaurant,Pharmacy,Outlet Store,Lebanese Restaurant,Grocery Store,Platform,,,,
64,64,Arndell Park,2148.0,Furniture / Home Store,,,,,,,,,
65,65,Artarmon,2064.0,Café,Thai Restaurant,Japanese Restaurant,Asian Restaurant,Grocery Store,Ramen Restaurant,Park,Sushi Restaurant,Sandwich Place,Platform
66,66,Arthurs Seat,3936.0,Scenic Lookout,Australian Restaurant,,,,,,,,
67,67,Ascot,4007.0,Café,Pizza Place,Burger Joint,Japanese Restaurant,Thai Restaurant,Grocery Store,Flea Market,Train Station,Bakery,Supermarket
68,68,Ascot,6104.0,Fast Food Restaurant,Motel,Resort,Hotel,,,,,,
69,69,Ascot Park,5043.0,Train Station,Liquor Store,Salon / Barbershop,,,,,,,
70,70,Ascot Vale,3032.0,Café,Bakery,Pizza Place,Gym / Fitness Center,Middle Eastern Restaurant,Diner,Fish & Chips Shop,Wine Shop,Light Rail Station,Gym
71,71,Ashburton,3147.0,Café,Train Station,Gym,Afghan Restaurant,Pizza Place,Pool,,,,
72,72,Ashbury,2193.0,Grocery Store,Park,Playground,,,,,,,
73,73,Ashby,6065.0,Business Service,Bus Station,,,,,,,,
74,74,Ashcroft,2168.0,,,,,,,,,,
75,75,Ashendon,6111.0,,,,,,,,,,
76,76,Ashfield,2131.0,Dumpling Restaurant,Shanghai Restaurant,Supermarket,Electronics Store,Asian Restaurant,Café,Platform,Chinese Restaurant,Japanese Restaurant,Polish Restaurant
77,77,Ashfield,6054.0,Grocery Store,Pizza Place,Soccer Field,Train Station,,,,,,
78,78,Ashford,5035.0,Fast Food Restaurant,Furniture / Home Store,Hospital,Video Store,,,,,,
79,79,Ashgrove,4060.0,Restaurant,Park,Rugby Pitch,Playground,,,,,,
80,80,Ashwell,4340.0,,,,,,,,,,
81,81,Ashwood,3147.0,Café,Hockey Field,Park,Pizza Place,Athletics & Sports,,,,,
82,82,Aspendale,3195.0,Café,Train Station,Supermarket,Mexican Restaurant,Pharmacy,Home Service,Golf Course,,,
83,83,Aspendale Gardens,3195.0,Fast Food Restaurant,Pharmacy,Grocery Store,Bakery,,,,,,
84,84,Aspley,4034.0,Supermarket,Ice Cream Shop,Pizza Place,Convenience Store,Chinese Restaurant,Seafood Restaurant,Bakery,Gym,Grocery Store,Electronics Store
85,85,Asquith,2077.0,Gas Station,Hobby Shop,Sports Club,Fast Food Restaurant,Train Station,Supermarket,,,,
86,86,Athelstone,5076.0,Gas Station,Pizza Place,Grocery Store,Supermarket,,,,,,
87,87,Athol Park,5012.0,Vietnamese Restaurant,Grocery Store,Sports Club,Tanning Salon,,,,,,
88,88,Attadale,6156.0,,,,,,,,,,
89,89,Attwood,3049.0,Seafood Restaurant,Bus Stop,Business Service,,,,,,,
90,90,Atwell,6164.0,Lake,Café,,,,,,,,
91,91,Aubin Grove,6164.0,Seafood Restaurant,Grocery Store,Bakery,,,,,,,
92,92,Auburn,2144.0,Turkish Restaurant,Supermarket,Bakery,Portuguese Restaurant,Persian Restaurant,Gym,Thai Restaurant,Lebanese Restaurant,Fast Food Restaurant,Department Store
